1 &  Filosofia-20-301  & 16 & 32,00 & 50 & 273 & 16,73 &  1632 \\ 
2 &  Filosofia-20-326  & 18 & 35,29 & 51 & 159 & 10,11 &  1572 \\ 
3 &  Filosofia-20-327  & 15 & 30,00 & 50 & 885 & 51,91 &  1705 \\ 
4 &  Filosofia-20-328  & 16 & 32,65 & 49 & 409 & 22,35 &  1830 \\ 
5 &  Filosofia-20-387  & 23 & 46,94 & 49 & 635 & 45,95 &  1382 \\ 
6 &  mtpc-13-258  & 12 & 66,67 & 18 & 690 & 32,68 &  2111 \\ 
7 &  mtpc-13-281  & 17 & 89,47 & 19 & 347 & 37,43 &  927 \\ 
8 &  mtpc-13-283  & 11 & 84,61 & 13 & 548 & 18,45 &  2970 \\ 
9 &  mtpc-13-307  & 8 & 88,89 & 9 & 1178 & 47,46 &  2482 \\ 
10 &  mtpc-13-321  & 8 & 88,89 & 9 & 847 & 36,70 &  2308 \\ 
11 &  mtpc-13-340  & 10 & 90,91 & 11 & 91 & 19,32 &  471 \\ 
12 &  mtpc-13-352  & 11 & 84,61 & 13 & 108 & 9,16 &  1179 \\ 
13 &  mtpc-13-355  & 15 & 93,75 & 16 & 4 & 0,59 &  676 \\ 
14 &  mtpc-13-362  & 10 & 62,50 & 16 & 12 & 4,27 &  281 \\ 
15 &  mtpc-13-365  & 12 & 80,00 & 15 & 18 & 4,37 &  411 \\ 
16 &  mtpc-13-366  & 11 & 78,57 & 14 & 143 & 33,25 &  430 \\ 
17 &  mtpc-13-380  & 12 & 70,59 & 17 & 210 & 35,65 &  589 \\ 
18 &  mtpc-13-381  & 11 & 68,75 & 16 & 20 & 3,37 &  593 \\ 
19 &  mtpc-13-382  & 13 & 86,67 & 15 & 5 & 0,72 &  692 \\ 
20 &  mtpc-13-383  & 15 & 88,23 & 17 & 100 & 17,95 &  557 \\ 
21 &  mtpc-13-392  & 11 & 84,61 & 13 & 8 & 5,97 &  134 \\ 
22 &  mtpc-13-397  & 13 & 81,25 & 16 & 571 & 34,96 &  1633 \\ 
23 &  mtpc-13-405  & 12 & 85,71 & 14 & 626 & 40,46 &  1547 \\ 
24 &  mtpc-13-412  & 16 & 94,12 & 17 & 444 & 39,71 &  1118 \\ 
25 &  mtpc-13-418  & 16 & 94,12 & 17 & 74 & 10,23 &  723 \\ 
26 &  Tec-II-5-11  & 17 & 38,64 & 44 & 1422 & 32,74 &  4343 \\ 
27 &  Tec-II-5-115  & 16 & 61,54 & 26 & 82 & 7,47 &  1097 \\ 
28 &  Tec-II-5-117  & 17 & 89,47 & 19 & 23 & 4,99 &  461 \\ 
29 &  Tec-II-5-131  & 16 & 80,00 & 20 & 53 & 9,81 &  540 \\ 
30 &  Tec-II-5-159  & 15 & 51,72 & 29 & 336 & 50,22 &  669 \\ 
31 &  Tec-II-5-162  & 15 & 55,56 & 27 & 3 & 0,50 &  604 \\ 
32 &  Tec-II-5-169  & 13 & 52,00 & 25 & 43 & 20,77 &  207 \\ 
33 &  Tec-II-5-179  & 11 & 40,74 & 27 & 145 & 27,36 &  530 \\ 
34 &  Tec-II-5-185  & 12 & 63,16 & 19 & 34 & 18,89 &  180 \\ 
35 &  Tec-II-5-186  & 15 & 75,00 & 20 & 98 & 11,47 &  854 \\ 
36 &  Tec-II-5-187  & 11 & 52,38 & 21 & 559 & 52,59 &  1063 \\ 
37 &  Tec-II-5-189  & 15 & 60,00 & 25 & 160 & 16,39 &  976 \\ 
38 &  Tec-II-5-190  & 16 & 61,54 & 26 & 99 & 8,75 &  1131 \\ 
39 &  Tec-II-5-191  & 17 & 70,83 & 24 & 140 & 18,09 &  774 \\ 
40 &  Tec-II-5-3  & 32 & 72,73 & 44 & 2234 & 47,82 &  4672 \\ 
41 &  Tec-II-5-4  & 32 & 72,73 & 44 & 2352 & 50,34 &  4672 \\ 
42 &  Tec-II-5-6  & 17 & 38,64 & 44 & 1411 & 32,49 &  4343 \\ 
43 &  Tec-II-5-77  & 17 & 38,64 & 44 & 1667 & 38,38 &  4343 \\ 
44 &  Tec-II-5-8  & 18 & 40,00 & 45 & 872 & 49,21 &  1772 \\ 
45 &  Tec-II-5-82  & 18 & 40,00 & 45 & 707 & 39,90 &  1772 \\
